roc_auc,average_precision,brier_score,f1_score,f1_macro,recall,recall_class_0,recall_class_1,precision_class_0,precision_class_1,f1_class_0,f1_class_1,accuracy,balanced_accuracy,Model,n_parameters,threshold
0.9272585802014972,0.8232689958782092,0.11559154179996622,0.7177478580171358,0.8042449135627231,0.83675799086758,0.8442608227052273,0.83675799086758,0.9426393902928198,0.6283754822117446,0.8907419691083104,0.7177478580171358,0.8424648175980325,0.8405094067864036,ensemble,,
0.9269778571211797,0.8252710593926565,0.1129619708514109,0.7095732410611303,0.7936879114167148,0.8778538812785388,0.8122866894197952,0.8778538812785388,0.9548141891891891,0.5954316686024003,0.8778025817722993,0.7095732410611303,0.8279819647492827,0.845070285349167,hist_gradient_boosting,,
0.9269672454196409,0.8236060956289157,0.11200296454218568,0.711008111239861,0.7951049468337249,0.8755707762557078,0.8151607688162386,0.8755707762557078,0.9541631623212784,0.5985173624658603,0.8792017824275888,0.711008111239861,0.8296215329963109,0.8453657725359731,xgboost,,
0.9269054719879788,0.8233431311341287,0.1135489235782735,0.7085714285714285,0.7921693740343259,0.884703196347032,0.8072570504760194,0.884703196347032,0.956984667802385,0.5909264201296226,0.8757673194972231,0.7085714285714285,0.8257958737532449,0.8459801234115256,lightgbm,,
0.926060739534094,0.8201494890931046,0.11361219345510284,0.709409594095941,0.793551622907027,0.8778538812785388,0.8121070594575175,0.8778538812785388,0.95480464625132,0.5952012383900929,0.877693651718113,0.709409594095941,0.8278453340620303,0.8449804703680281,catboost,,
0.9259633374426763,0.8205119381252135,0.11290472725234094,0.7097516099356026,0.7935541334420482,0.8807077625570776,0.8108496497215736,0.8807077625570776,0.9557484649587127,0.5943759630200308,0.8773566569484936,0.7097516099356026,0.8275720726875256,0.8457787061393256,ensemble_full,,
0.9020195452163063,0.7543677704182778,0.13233961763476565,0.673584480036093,0.7658956207137839,0.8521689497716894,0.786599604814083,0.8521689497716894,0.9441569642087106,0.556881760537113,0.8582067613914748,0.673584480036093,0.8022953955458396,0.8193842772928862,logistic_elasticnet,,
0.9020189300452027,0.7539239195432249,0.13228440905704572,0.6729772368717603,0.7653681400514081,0.8521689497716894,0.7858810849649721,0.8521689497716894,0.9441087613293051,0.5560521415270019,0.8577590432310558,0.6729772368717603,0.8017488727968302,0.8190250173683308,logistic_regression,,
0.9008342130280116,0.7514690222331095,0.22746368623730703,0.6813929313929314,0.7838846028605064,0.7482876712328768,0.8589904796119993,0.7482876712328768,0.9155657668006892,0.6254770992366412,0.8863762743280815,0.6813929313929314,0.8324907774286104,0.8036390754224381,mlp,69249.0,0.485
0.8897585699486456,0.7120834838520812,0.2242921649485855,0.6644967451176765,0.7693021117546293,0.757420091324201,0.8356385845158972,0.757420091324201,0.9162891471341343,0.5918822479928635,0.8741074783915821,0.6644967451176765,0.8169148790818418,0.7965293379200491,custom_architecture_hybrid_mit_both,293121.0,0.5
0.7928532291971688,0.5621032377631255,0.16046282244220078,0.546916890080429,0.6959923650988871,0.5821917808219178,0.8279144961379558,0.5821917808219178,0.8629470136678524,0.5156723963599595,0.845067840117345,0.546916890080429,0.7690941385435168,0.7050531384799368,tabular_transformer,67329.0,0.3
