iter	Logloss
218	0.3350356611
219	0.3349426296
220	0.3348345501
221	0.3347209432
222	0.3345928431
223	0.3344884298
224	0.3342831812
225	0.3341598944
226	0.334057417
227	0.3339376165
228	0.3338734342
229	0.3337315537
230	0.3336348228
231	0.3335030313
232	0.3334188352
233	0.3333341211
234	0.3331893994
235	0.3330559657
236	0.3328396357
237	0.3327055293
238	0.3325956292
239	0.3323992788
240	0.3322692188
241	0.3317621596
242	0.3316375081
243	0.331520102
244	0.3314104821
245	0.3312559053
246	0.3311501548
247	0.3310875901
248	0.3308723662
249	0.3307047059
250	0.3304890282
251	0.33037157
252	0.3301143962
253	0.3299690065
254	0.3294947595
255	0.3294365293
256	0.3292093807
257	0.3291019175
258	0.3284518177
259	0.3278638023
260	0.3277440568
261	0.3273053189
262	0.3272262063
263	0.3271066952
264	0.3267320229
265	0.3266477403
266	0.326446692
267	0.3263015918
268	0.3262286713
269	0.3260591464
270	0.3258999331
271	0.3258253872
272	0.3256942709
273	0.325637041
274	0.3255107054
275	0.3254147711
276	0.3253337607
277	0.325199912
278	0.325101649
279	0.3249766927
280	0.3249030302
281	0.3247611095
282	0.324593835
283	0.3243859315
284	0.3242707908
285	0.3241530131
286	0.324002683
287	0.3239022315
288	0.3238282958
289	0.3237326689
290	0.3235680518
291	0.3231197252
292	0.3230325012
293	0.3228836114
294	0.3227950819
295	0.3226784182
296	0.3226112223
297	0.3225160985
298	0.322384657
299	0.322196803
300	0.3220805062
301	0.3219865673
302	0.3218377578
303	0.3217209149
304	0.3213914687
305	0.3209923932
306	0.3208828373
307	0.3207597551
308	0.320616918
309	0.3205240588
310	0.3204281305
311	0.3203484828
312	0.3202314659
313	0.3201018703
314	0.3200084613
315	0.3197667731
316	0.3196410936
317	0.3194845779
318	0.3194043118
319	0.3192825501
320	0.3191909332
321	0.3190925375
322	0.3189975709
323	0.3189095063
324	0.318820171
325	0.3187075475
326	0.3185431197
327	0.3184686342
328	0.3183847678
329	0.3182966535
330	0.3181723667
331	0.3179724455
332	0.3178540284
333	0.3178013076
334	0.3177158815
335	0.3176154608
336	0.3175301492
337	0.3174120204
338	0.3173210072
339	0.3172149167
340	0.3171447229
341	0.3170694994
342	0.3169607353
343	0.3168742219
344	0.3167583081
345	0.3166803098
346	0.3165625296
347	0.3164642295
348	0.3161456724
349	0.3160598437
350	0.3159683554
351	0.3158671288
352	0.3157390869
353	0.31562057
354	0.3153768079
355	0.3152656044
356	0.3151496604
357	0.3150812132
358	0.3150171746
359	0.314955873
360	0.3148943877
361	0.3148289256
362	0.3147391195
363	0.3146696179
364	0.314563622
365	0.3144127117
366	0.3143172631
367	0.3142443766
368	0.3141668761
369	0.314089744
370	0.3139865926
371	0.3139066009
372	0.3138050694
373	0.3137028598
374	0.3136339928
375	0.3135507361
376	0.3134799716
377	0.3133825753
378	0.313289893
379	0.3131491656
380	0.3131039827
381	0.3129995809
382	0.3127031009
383	0.3125871125
384	0.3125179972
385	0.3124461629
386	0.3123209869
387	0.3122150242
388	0.3121239549
389	0.3120656039
390	0.3119622524
391	0.3118580923
392	0.311759565
393	0.3116833405
394	0.3115379646
395	0.3114431986
396	0.311331062
397	0.3112549632
398	0.3111905589
399	0.3110550339
400	0.3109379141
401	0.3108536838
402	0.3108147818
403	0.3107236247
404	0.3106588097
405	0.3105666616
406	0.3105021401
407	0.3104181691
408	0.3103066175
409	0.3101869551
410	0.310115092
411	0.3100369223
412	0.3099481319
413	0.3098555841
414	0.3097667339
415	0.3096854356
416	0.3095847604
417	0.3095199576
418	0.309457087
419	0.3093526711
420	0.3092330002
421	0.3091240624
422	0.3090475395
423	0.308898738
424	0.3087929641
425	0.3087370052
426	0.3086522948
427	0.3085471365
428	0.3084649265
429	0.3082929998
430	0.3082255213
431	0.3081703328
432	0.3081114509
433	0.3080246337
434	0.3078755968
435	0.3077908677
436	0.3075795663
437	0.3074708095
438	0.3073878397
439	0.307291247
440	0.3071880242
441	0.3070967015
442	0.3070006798
443	0.3069487655
444	0.3069031478
445	0.3068607402
446	0.3067858149
447	0.3066053812
448	0.3065225083
449	0.3064514671
450	0.3063556307
451	0.3062768019
452	0.3061424336
453	0.3060778946
454	0.3059969639
455	0.3059241385
456	0.3058260348
457	0.3056750374
458	0.3055557807
459	0.3054439327
460	0.3053724309
461	0.305250724
462	0.3051681469
463	0.3050947527
464	0.3050051178
465	0.3049010958
466	0.3048172754
467	0.3047432399
468	0.3046659943
469	0.3045872186
470	0.3045038679
471	0.3044331551
472	0.3043293186
473	0.3042583433
474	0.3042021556
475	0.3041191953
476	0.3040341779
477	0.3039535125
478	0.3038962862
479	0.3038329011
480	0.3037930398
481	0.3036883489
482	0.3036119705
483	0.3035210195
484	0.3034522396
485	0.3033670634
486	0.3032765164
487	0.3032313764
488	0.3031959301
489	0.3030967314
490	0.3030082781
491	0.3028855703
492	0.3028035973
493	0.3027378836
494	0.3026471672
495	0.3025702905
496	0.30248303
497	0.3024081072
498	0.3023246787
499	0.3022350139
500	0.302159048
501	0.3020739943
502	0.3019956563
503	0.3019081591
504	0.3018525275
505	0.3017760573
506	0.301714831
507	0.3015192585
508	0.3014371246
509	0.3013619707
510	0.3012969841
511	0.3012249109
512	0.3011521216
513	0.3011138086
514	0.3010382821
515	0.3010084233
516	0.3009644429
