Accuracy,F1,Recall,Precision,ROC_AUC,Count,Model,Attribute,Group
0.9249585406301825,0.6654343807763401,0.703125,0.631578947368421,0.9391251884276438,2412,ensemble,sex,Female
0.8019156307316079,0.7257336343115124,0.8596256684491979,0.6279296875,0.9106866821246768,4907,ensemble,sex,Male
0.9076923076923077,0.5714285714285714,0.4444444444444444,0.8,0.8809523809523809,65,ensemble,race,Amer-Indian-Eskimo
0.8019323671497585,0.7320261437908496,0.7887323943661971,0.6829268292682927,0.876864125932063,207,ensemble,race,Asian-Pac-Islander
0.9222560975609756,0.711864406779661,0.8076923076923077,0.6363636363636364,0.9611613876319758,656,ensemble,race,Black
0.8958333333333334,0.7058823529411765,0.8571428571428571,0.6,0.9721254355400697,48,ensemble,race,Other
0.8344631877660413,0.7180451127819549,0.8424700693131695,0.6256434253626579,0.9248822036489708,6343,ensemble,race,White
0.9129353233830846,0.6464646464646465,0.75,0.5680473372781065,0.9375398596938775,2412,ensemble_full,sex,Female
0.7856123904626044,0.7197655833777304,0.9030748663101604,0.5983170947741364,0.9094742238464106,4907,ensemble_full,sex,Male
0.8923076923076924,0.631578947368421,0.6666666666666666,0.6,0.8809523809523809,65,ensemble_full,race,Amer-Indian-Eskimo
0.7874396135265701,0.7283950617283951,0.8309859154929577,0.6483516483516484,0.8719966859983429,207,ensemble_full,race,Asian-Pac-Islander
0.9146341463414634,0.7083333333333334,0.8717948717948718,0.5964912280701754,0.9598749001863189,656,ensemble_full,race,Black
0.875,0.6666666666666666,0.8571428571428571,0.5454545454545454,0.9721254355400697,48,ensemble_full,race,Other
0.8188554311839823,0.709628506444276,0.8846880907372401,0.5924050632911393,0.9236362730617724,6343,ensemble_full,race,White
